Player,First Season,Most Recent Season,Height,Birthplace,All Star Selections,HallofFame,League Status,G,GS,MP,TRB,AST,STL,BLK,PTS,FG%,eFG%,FT%,TS%,3P%
Manute Bol,1986,1995,7-7,Gogrial West County,0,No,Inactive,624,133,11698,2647,171,126,2086,1599,0.407,0.42,0.561,0.441,0.21
Gheorghe Mureșan,1994,2000,7-7,Tritenii de Jos,0,No,Inactive,307,207,6729,1957,150,171,455,3020,0.573,0.573,0.644,0.594,0
Shawn Bradley,1994,2005,7-6,Landstuhl,0,No,Inactive,832,484,19531,5268,573,532,2119,6752,0.457,0.457,0.716,0.5,0.103
Yao Ming,2003,2011,7-6,Shanghai,8,Yes,Inactive,486,476,15818,4494,769,189,920,9247,0.524,0.525,0.833,0.596,0.2
Sim Bhullar,2015,2015,7-5,Toronto,0,No,Inactive,3,0,3,1,1,0,1,2,0.5,0.5,,0.5,
Chuck Nevitt,1983,1994,7-5,Cortez,0,No,Inactive,155,0,826,239,19,18,111,251,0.438,0.438,0.589,0.473,
Pavel Podkolzin,2005,2006,7-5,Novosibirsk,0,No,Inactive,6,0,28,9,0,0,1,4,0,0,0.5,0.362,
Slavko Vraneš,2004,2004,7-5,Belgrade,0,No,Inactive,1,0,3,0,0,0,0,0,0,0,,0,
Mark Eaton,1983,1993,7-4,Westminster,1,No,Inactive,875,815,25169,6939,840,368,3064,5216,0.458,0.458,0.649,0.496,0
Priest Lauderdale,1997,1998,7-4,Chicago,0,No,Inactive,74,0,525,143,33,8,26,255,0.472,0.472,0.554,0.497,0
Ralph Sampson,1984,1992,7-4,Harrisonburg,4,Yes,Inactive,456,363,13591,4011,1038,390,752,7039,0.486,0.487,0.661,0.518,0.172
Rik Smits,1989,2000,7-4,Eindhoven,1,No,Inactive,867,792,23100,5277,1215,372,1111,12871,0.507,0.507,0.773,0.548,0.115
Randy Breuer,1984,1994,7-3,Lake City,0,No,Inactive,681,285,12499,2986,616,305,750,4599,0.467,0.467,0.628,0.497,0
Keith Closs,1998,2000,7-3,Hartford,0,No,Inactive,130,7,1647,372,44,28,163,502,0.471,0.471,0.606,0.502,0
Swede Halbrook,1961,1962,7-3,Portland,0,No,Inactive,143,,2039,949,64,,,786,0.347,0.347,0.591,0.388,
Žydrūnas Ilgauskas,1998,2011,7-3,Kaunas,2,No,Inactive,843,724,22965,6191,955,421,1327,10976,0.476,0.478,0.78,0.534,0.31
Boban Marjanović,2016,2019,7-3,Zaječar,0,No,Active,172,16,1647,669,86,41,70,1039,0.584,0.584,0.772,0.645,0
Tibor Pleiß,2016,2016,7-3,Bergisch Gladbach,0,No,Inactive,12,0,82,15,2,1,2,24,0.44,0.44,1,0.464,0
Kristaps Porziņģis,2016,2018,7-3,Liepāja,1,No,Actvie,186,185,5764,1317,248,136,378,3312,0.437,0.488,0.804,0.535,0.361
Aleksandar Radojević,2000,2005,7-3,Herceg Novi,0,No,Inactive,15,6,152,36,7,2,3,26,0.308,0.308,0.625,0.393,
Peter John Ramos,2005,2005,7-3,Fajardo,0,No,Inactive,6,0,20,4,0,0,1,11,0.5,0.5,0.5,0.506,
Arvydas Sabonis,1996,2003,7-3,Kaunas,0,Yes,Inactive,470,314,11375,3436,964,370,494,5629,0.5,0.517,0.786,0.574,0.328
Ha Seung-Jin,2005,2006,7-3,Seoul,0,No,Inactive,46,4,316,67,3,4,13,70,0.519,0.519,0.5,0.528,
Walter Tavares,2016,2017,7-3,Maio Island,0,No,Inactive,13,0,101,32,4,1,12,33,0.625,0.625,0.273,0.572,
Hasheem Thabeet,2010,2014,7-3,Dar es Salaam,0,No,Inactive,224,20,2357,595,27,59,184,483,0.567,0.567,0.578,0.587,
Kareem Abdul-Jabbar,1970,1989,7-2,New York City,19,Yes,Inactive,1560,625,57446,17440,5660,1160,3189,38387,0.559,0.559,0.721,0.592,0.056
Alexis Ajinça,2009,2017,7-2,Saint-Étienne,0,No,Inactive,293,76,3905,1150,143,102,181,1553,0.503,0.507,0.797,0.546,0.286
Martynas Andriuškevičius,2006,2006,7-2,Kaunas,0,No,Inactive,6,0,9,4,0,2,0,0,0,0,,0,
Primož Brezec,2002,2010,7-2,Postojna,0,No,Inactive,342,214,6192,1327,179,69,134,2452,0.498,0.498,0.701,0.533,0.167
Tommy Burleson,1975,1981,7-2,Crossnore,0,No,Inactive,446,,9425,2794,601,312,591,4190,0.445,0.445,0.726,0.503,0
James Donaldson,1981,1995,7-2,Heacham,1,No,Inactive,957,659,26222,7492,765,336,1267,8203,0.571,0.571,0.732,0.618,
Ralph Drollinger,1981,1981,7-2,La Mesa,0,No,Inactive,6,,67,19,14,1,2,15,0.5,0.5,0.25,0.476,
Artis Gilmore,1977,1988,7-2,Chipley,11,Yes,Inactive,909,476,29685,9161,1777,470,1747,15579,0.599,0.599,0.713,0.643,0.077
Pétur Guðmundsson,1982,1989,7-2,Reykjavík,0,No,Inactive,150,20,2060,563,153,35,96,693,0.494,0.495,0.754,0.56,0.5
Hamed Haddadi,2009,2013,7-2,Ahvaz,0,No,Inactive,151,0,1056,372,43,11,92,339,0.463,0.463,0.632,0.504,0
Thomas Hamilton,1996,2000,7-2,Chicago,0,No,Inactive,33,7,343,112,16,4,23,107,0.4,0.4,0.463,0.418,
Roy Hibbert,2009,2017,7-2,Queens,2,No,Inactive,662,586,16389,4173,885,241,1146,6611,0.465,0.465,0.755,0.514,0.25
Garth Joseph,2001,2001,7-2,Roseau,0,No,Inactive,4,0,16,2,1,0,1,2,0.2,0.2,0,0.17,
Rich King,1992,1995,7-2,Lincoln,0,No,Inactive,72,2,309,74,21,5,7,135,0.393,0.393,0.662,0.471,0
Luc Longley,1992,2001,7-2,Melbourne,0,No,Inactive,567,362,12006,2794,836,278,549,4090,0.462,0.462,0.76,0.503,0
Salah Mejri,2016,2019,7-2,Jendouba,0,No,Active,193,22,2248,741,76,68,174,606,0.615,0.619,0.597,0.629,0.2
Dikembe Mutombo,1992,2009,7-2,Kinshasa,8,Yes,Inactive,1196,997,36791,12359,1240,494,3289,11729,0.518,0.518,0.684,0.573,0
Martin Nessley,1988,1988,7-2,Columbus,0,No,Inactive,44,0,336,82,16,8,12,48,0.385,0.385,0.444,0.401,
Alan Ogg,1991,1993,7-2,Lancaster,0,No,Inactive,80,1,657,133,13,12,58,175,0.493,0.493,0.568,0.511,0
Greg Ostertag,1996,2006,7-2,Dallas,0,No,Inactive,756,321,14753,4145,443,189,1293,3512,0.486,0.486,0.569,0.516,0.1
Tom Payne,1972,1972,7-2,California,0,No,Inactive,29,,227,69,15,,,119,0.437,0.437,0.63,0.483,
Kosta Perović,2008,2008,7-2,Osijek,0,No,Inactive,7,0,38,13,1,0,2,10,0.3,0.3,0.667,0.396,
Bruno Šundov,1999,2005,7-2,Split,0,No,Inactive,102,4,524,107,18,15,14,173,0.356,0.367,0.526,0.375,0.208
Cezary Trybański,2003,2004,7-2,Warsaw,0,No,Inactive,22,0,101,15,1,1,7,15,0.208,0.208,0.417,0.256,
Jake Tsakalidis,2001,2007,7-2,Rustavi,0,No,Inactive,315,168,5005,1238,101,73,223,1497,0.49,0.49,0.657,0.531,0
Stojko Vranković,1991,1999,7-2,Drniš,0,No,Inactive,170,73,2050,516,59,22,179,473,0.477,0.477,0.598,0.502,
Luther Wright,1994,1994,7-2,Jersey City,0,No,Inactive,15,2,92,10,0,1,2,19,0.348,0.348,0.75,0.384,0
Solomon Alabi,2011,2012,7-1,Kaduna,0,No,Inactive,26,0,181,61,5,4,11,39,0.314,0.314,0.7,0.352,
Deandre Ayton,2019,2019,7-1,Nassau,0,No,Active,63,62,1953,649,118,54,56,1030,0.583,0.583,0.757,0.608,0
Dalibor Bagarić,2001,2003,7-1,Munich,0,No,Inactive,95,0,973,238,37,29,43,251,0.361,0.361,0.559,0.4,0
